frequency,magnitude,phase
1,-7.96,-50
10,-26.02,-79
50,-37.84,-82
100,-42.79,-97
230,-46.17,-72
500,-80,NaN
1000,-47.96,86
10000,-34.50,86
50000,-20.76,86
100000,-13.98,64
250000,-2.89,45
