frequency,magnitude,phase
1.03752841581790e-05,-1.86637287955228e-09,-1.18776253025819e-03
1.10662378397755e-05,-2.12323596523974e-09,-1.26686290769104e-03
1.18032063565160e-05,-2.41545129586839e-09,-1.35123106344344e-03
1.25892541179403e-05,-2.74788293918465e-09,-1.44121781111784e-03
1.34276496113771e-05,-3.12606709918060e-09,-1.53719732714163e-03
1.43218789927338e-05,-3.55629890556644e-09,-1.63956870664063e-03
1.52756605823789e-05,-4.04574331142975e-09,-1.74875762292772e-03
1.62929603263953e-05,-4.60254791954975e-09,-1.86521809750683e-03
1.73780082874917e-05,-5.23598280988095e-09,-1.98943438795254e-03
1.85353162341459e-05,-5.95659772493145e-09,-2.12192300151491e-03
1.97696964011162e-05,-6.77638793408874e-09,-2.26323484282266e-03
2.10862814993303e-05,-7.70900349268208e-09,-2.41395750461502e-03
2.24905460583550e-05,-8.76997393028485e-09,-2.57471771102739e-03
2.39883291901919e-05,-9.97696186884174e-09,-2.74618392359025e-03
2.55858588690532e-05,-1.13500638928428e-08,-2.92906912077756e-03
2.72897778280769e-05,-1.29121422779779e-08,-3.12413376266210e-03
2.91071711806622e-05,-1.46892049361658e-08,-3.33218895300539e-03
3.10455958812794e-05,-1.67108393629242e-08,-3.55409981193038e-03
3.31131121482547e-05,-1.90107083016998e-08,-3.79078907320097e-03
3.53183169791909e-05,-2.16271003748684e-08,-4.04324092106625e-03
3.76703798983857e-05,-2.46035790761409e-08,-4.31250508262351e-03
4.01790810848884e-05,-2.79897021588808e-08,-4.59970119271657e-03
4.28548520397379e-05,-3.18418499934329e-08,-4.90602344951915e-03
4.57088189614810e-05,-3.62241571075028e-08,-5.23274558016175e-03
4.87528490103316e-05,-4.12095903043230e-08,-5.58122613704966e-03
5.19995996533441e-05,-4.68811550363905e-08,-5.95291414689475e-03
5.54625712957830e-05,-5.33332801798087e-08,-6.34935513595035e-03
5.91561634175386e-05,-6.06733947098232e-08,-6.77219755650277e-03
6.30957344480099e-05,-6.90237088138193e-08,-7.22319964134147e-03
6.72976656284216e-05,-7.85232544084565e-08,-7.70423671470932e-03
7.17794291271252e-05,-8.93301956685575e-08,-8.21730899013275e-03
7.65596606911138e-05,-1.01624468391745e-07,-8.76454988755573e-03
8.16582371358465e-05,-1.15610769414054e-07,-9.34823490436082e-03
8.70963589955944e-05,-1.31521965508132e-07,-9.97079107716396e-03
9.28966386779789e-05,-1.49622975766401e-07,-1.06348070737254e-02
9.90831944892609e-05,-1.70215179542920e-07,-1.13430439569399e-02
1.05681750921349e-04,-1.93641432886173e-07,-1.20984466656630e-02
1.12719745617533e-04,-2.20291777359373e-07,-1.29041562601121e-02
1.20226443461722e-04,-2.50609934788137e-07,-1.37635229827570e-02
1.28233058265581e-04,-2.85100698833360e-07,-1.46801201890100e-02
1.36772882559562e-04,-3.24338333322800e-07,-1.56577592056373e-02
1.45881426027510e-04,-3.68976136455643e-07,-1.67005051786730e-02
1.55596563160481e-04,-4.19757316493830e-07,-1.78126939767319e-02
1.65958690743728e-04,-4.77527374699023e-07,-1.89989502200024e-02
1.77010895831711e-04,-5.43248166201706e-07,-2.02642065098838e-02
1.88799134909596e-04,-6.18013930994332e-07,-2.16137239392213e-02
2.01372424986203e-04,-7.03069507201463e-07,-2.30531139684188e-02
2.14783047413015e-04,-7.99831044856094e-07,-2.45883617583841e-02
2.29086765276736e-04,-9.09909608807663e-07,-2.62258510573214e-02
2.44343055269353e-04,-1.03513798320574e-06,-2.79723907448419e-02
2.60615354999842e-04,-1.17760119444148e-06,-2.98352431437543e-02
2.77971326775878e-04,-1.33967122603475e-06,-3.18221542172446e-02
2.96483138952379e-04,-1.52404650985375e-06,-3.39413857769900e-02
3.16227766016779e-04,-1.73379685230804e-06,-3.62017498361094e-02
3.37287308658805e-04,-1.97241455348346e-06,-3.86126452497699e-02
3.59749335155674e-04,-2.24387254179941e-06,-4.11840967957693e-02
3.83707245492205e-04,-2.55269054060130e-06,-4.39267968575601e-02
4.09260659729932e-04,-2.90401029178360e-06,-4.68521498829884e-02
4.36515832240081e-04,-3.30368119712912e-06,-4.99723198035538e-02
4.65586093522868e-04,-3.75835767633934e-06,-5.33002806112960e-02
4.96592321450238e-04,-4.27560998818555e-06,-5.68498703035261e-02
5.29663443891553e-04,-4.86405025543484e-06,-6.06358484196065e-02
5.64936974812189e-04,-5.53347586237857e-06,-6.46739574088991e-02
6.02559586074236e-04,-6.29503257702961e-06,-6.89809880849021e-02
6.42687717316889e-04,-7.16140010976971e-06,-7.35748494375552e-02
6.85488226452521e-04,-8.14700324552424e-06,-7.84746430937756e-02
7.31139083483267e-04,-9.26825199323257e-06,-8.37007427355651e-02
7.79830110523097e-04,-1.05438148116693e-05,-8.92748788055841e-02
8.31763771102497e-04,-1.19949294229999e-05,-9.52202288520059e-02
8.87156012037774e-04,-1.36457564082747e-05,-1.01561513887821e-01
9.46237161365592e-04,-1.55237814696227e-05,-1.08325101164675e-01
1.00925288607647e-03,-1.76602730357468e-05,-1.15539113787853e-01
1.07646521362960e-03,-2.00908028566383e-05,-1.23233547627333e-01
1.14815362149663e-03,-2.28558382500421e-05,-1.31440396009972e-01
1.22461619926478e-03,-2.60014158148548e-05,-1.40193782710012e-01
1.30617088813155e-03,-2.95799079159163e-05,-1.49530103789327e-01
1.39315680294499e-03,-3.36508945855387e-05,-1.59488178875306e-01
1.48593564228668e-03,-3.82821554607273e-05,-1.70109412503081e-01
1.58489319246076e-03,-4.35507981955176e-05,-1.81437966190178e-01
1.69044093164288e-03,-4.95445421582073e-05,-1.93520941955704e-01
1.80301774085916e-03,-5.63631787761812e-05,-2.06408578043031e-01
1.92309172890972e-03,-6.41202328310147e-05,-2.20154457654802e-01
2.05116217882509e-03,-7.29448523298731e-05,-2.34815731562132e-01
2.18776162394905e-03,-8.29839584576793e-05,-2.50453355506265e-01
2.33345806228046e-03,-9.44046912985380e-05,-2.67132343370874e-01
2.48885731828181e-03,-1.07397192087179e-04,-2.84922037166881e-01
2.65460556197491e-03,-1.22177768229864e-04,-3.03896394939227e-01
2.83139199579871e-03,-1.38992493787689e-04,-3.24134297776787e-01
3.01995172040129e-03,-1.58121305228712e-04,-3.45719877182594e-01
3.22106879128266e-03,-1.79882660623525e-04,-3.68742864142086e-01
3.43557947899791e-03,-2.04638839716276e-04,-3.93298961312305e-01
3.66437574647744e-03,-2.32801972957049e-04,-4.19490239844985e-01
3.90840895792306e-03,-2.64840899728032e-04,-4.47425562451562e-01
4.16869383470233e-03,-3.01288969638799e-04,-4.77221034418245e-01
4.44631267468998e-03,-3.42752916556829e-04,-5.09000484384658e-01
4.74241985260126e-03,-3.89922952609074e-04,-5.42895976810130e-01
5.05824662002987e-03,-4.43584249759459e-04,-5.79048358167472e-01
5.39510622514991e-03,-5.04629999406522e-04,-6.17607839024898e-01
5.75439937337011e-03,-5.74076266565107e-04,-6.58734614302454e-01
6.13762005164637e-03,-6.53078884759472e-04,-7.02599524119496e-01
6.54636174067107e-03,-7.42952671473106e-04,-7.49384757783889e-01
6.98232404076991e-03,-8.45193282150347e-04,-7.99284603611031e-01
7.44731973905795e-03,-9.61502064050847e-04,-8.52506247400417e-01
7.94328234724074e-03,-1.09381432063828e-03,-9.09270622538044e-01
8.47227414140374e-03,-1.24433145278566e-03,-9.69813314832774e-01
9.03649473722063e-03,-1.41555750664412e-03,-1.03438552533160e+00
9.63829023623714e-03,-1.61034072956646e-03,-1.10325509448982e+00
1.02801629812620e-02,-1.83192081699073e-03,-1.17670759119407e+00
1.09647819614289e-02,-2.08398262517020e-03,-1.25504747024397e+00
1.16949939101955e-02,-2.37071722887917e-03,-1.33859930198757e+00
1.24738351424260e-02,-2.69689132105069e-03,-1.42770907786835e+00
1.33045441797773e-02,-3.06792608449456e-03,-1.52274559567031e+00
1.41905752168870e-02,-3.48998681600218e-03,-1.62410192823168e+00
1.51356124843579e-02,-3.97008475269542e-03,-1.73219697932414e+00
1.61435855682604e-02,-4.51619274105879e-03,-1.84747713024833e+00
1.72186857498553e-02,-5.13737660367722e-03,-1.97041798045820e+00
1.83653834334783e-02,-5.84394429921768e-03,-2.10152618517458e+00
1.95884467350544e-02,-6.64761524069933e-03,-2.24134139245285e+00
2.08929613085345e-02,-7.56171243825244e-03,-2.39043828149913e+00
2.22843514926967e-02,-8.60138046786879e-03,-2.54942870314186e+00
2.37684028662419e-02,-9.78383264027509e-03,-2.71896392221356e+00
2.53512863049718e-02,-1.11286311559743e-02,-2.89973696012172e+00
2.70395836410806e-02,-1.26580044863036e-02,-3.09248503401963e+00
2.88403150312577e-02,-1.43972067170555e-02,-3.29799208664402e+00
3.07609681473981e-02,-1.63749241316694e-02,-3.51709139796897e+00
3.28095293113022e-02,-1.86237348939546e-02,-3.75066826621902e+00
3.49945167028254e-02,-2.11806283130012e-02,-3.99966274135384e+00
3.73250157795610e-02,-2.40875908294695e-02,-4.26507238872374e+00
3.98107170553378e-02,-2.73922665432728e-02,-4.54795505401859e+00
4.24619563946185e-02,-3.11487007934287e-02,-4.84943159268301e+00
4.52897579903484e-02,-3.54181759801127e-02,-5.17068851741291e+00
4.83058802039626e-02,-4.02701494573511e-02,-5.51298050591962e+00
5.15228644581599e-02,-4.57833038816418e-02,-5.87763269755950e+00
5.49540873857456e-02,-5.20467208228031e-02,-6.26604269137380e+00
5.86138164513848e-02,-5.91611886570429e-02,-6.67968213924695e+00
6.25172692775492e-02,-6.72406556760314e-02,-7.12009780596349e+00
6.66806769213415e-02,-7.64138388413616e-02,-7.58891194264447e+00
7.11213513653107e-02,-8.68259975428183e-02,-8.08782179116330e+00
7.58577575028946e-02,-9.86408798974417e-02,-8.61859800458532e+00
8.09095899178127e-02,-1.12042846331259e-01,-9.18308173254263e+00
8.62978547766697e-02,-1.27239171150386e-01,-9.78318008112302e+00
9.20449571752878e-02,-1.44462517222976e-01,-1.04208596151033e+01
9.81747943019670e-02,-1.63973571407845e-01,-1.10981375275318e+01
1.04712854805056e-01,-1.86063818597884e-01,-1.18170700598387e+01
1.11686324778020e-01,-2.11058419803468e-01,-1.25797377178680e+01
1.19124200802699e-01,-2.39319144210012e-01,-1.33882267996958e+01
1.27057410520813e-01,-2.71247286302009e-01,-1.42446067354788e+01
1.35518941235059e-01,-3.07286476793242e-01,-1.51509027451244e+01
1.44543977074545e-01,-3.47925270319498e-01,-1.61090633552644e+01
1.54170045294905e-01,-3.93699364083573e-01,-1.71209223934749e+01
1.64437172321439e-01,-4.45193270858560e-01,-1.81881552068135e+01
1.75388050184118e-01,-5.03041238608682e-01,-1.93122290459385e+01
1.87068214036517e-01,-5.67927179984247e-01,-2.04943478269009e+01
1.99526231496821e-01,-6.40583351578004e-01,-2.17353918388432e+01
2.12813904598199e-01,-7.21787509604776e-01,-2.30358534103534e+01
2.26986485188305e-01,-8.12358271004956e-01,-2.43957700740910e+01
2.42102904673535e-01,-9.13148432859593e-01,-2.58146573596455e+01
2.58226019063371e-01,-1.02503605434873e+00,-2.72914439631067e+01
2.75422870333722e-01,-1.14891318913651e+00,-2.88244126344730e+01
2.93764965196052e-01,-1.28567227453339e+00,-3.04111506180675e+01
3.13328572431450e-01,-1.43619033576644e+00,-3.20485137890937e+01
3.34195040025998e-01,-1.60131134269445e+00,-3.37326086579068e+01
3.56451133426120e-01,-1.78182724975391e+00,-3.54587960771437e+01
3.80189396320428e-01,-1.97845843915366e+00,-3.72217197263878e+01
4.05508535448241e-01,-2.19183444895136e+00,-3.90153612510424e+01
4.32513831034856e-01,-2.42247597634543e+00,-4.08331223448967e+01
4.61317574560215e-01,-2.67077917925377e+00,-4.26679322072977e+01
4.92039535681275e-01,-2.93700323999423e+00,-4.45123768574575e+01
5.24807460249584e-01,-3.22126199894911e+00,-4.63588449743808e+01
5.59757601494909e-01,-3.52352022278961e+00,-4.81996834833145e+01
5.97035286583621e-01,-3.84359476441624e+00,-5.00273552270302e+01
6.36795520907685e-01,-4.18116053437197e+00,-5.18345908687772e+01
6.79203632616937e-01,-4.53576087549219e+00,-5.36145277012194e+01
7.24435960074725e-01,-4.90682165169562e+00,-5.53608292058244e+01
7.72680585095418e-01,-5.29366815766429e+00,-5.70677808554648e+01
8.24138115012698e-01,-5.69554384557892e+00,-5.87303595598027e+01
8.79022516830559e-01,-6.11162985059726e+00,-6.03442760850321e+01
9.37562006925531e-01,-6.54106436788627e+00,-6.19059915290972e+01
9.99999999999627e-01,-6.98296107081009e+00,-6.34127103474365e+01
1.06659612122986e+00,-7.43642593764416e+00,-6.48623534177703e+01
1.13762728582300e+00,-7.90057204808507e+00,-6.62535151879012e+01
1.21338885046452e+00,-8.37453209942898e+00,-6.75854091053170e+01
1.29419584144949e+00,-8.85746855972959e+00,-6.88578053555211e+01
1.38038426460236e+00,-9.34858151187770e+00,-7.00709645286937e+01
1.47231250243216e+00,-9.84711434447964e+00,-7.12255702835729e+01
1.57036280433295e+00,-1.03523575133334e+01,-7.23226634646240e+01
1.67494287602579e+00,-1.08636506349958e+01,-7.33635795177882e+01
1.78648757485136e+00,-1.13803831868997e+01,-7.43498904863929e+01
1.90546071796251e+00,-1.19019940827541e+01,-7.52833523793201e+01
2.03235701093543e+00,-1.24279703733337e+01,-7.61658583006125e+01
2.16770410481885e+00,-1.29578452962414e+01,-7.69993974146092e+01
2.31206479017469e+00,-1.34911958678484e+01,-7.77860195873569e+01
2.46603933723337e+00,-1.40276401793968e+01,-7.85278053830813e+01
2.63026799189434e+00,-1.45668345292655e+01,-7.92268409917702e+01
2.80543363795060e+00,-1.51084704959721e+01,-7.98851976081130e+01
2.99226463660700e+00,-1.56522720323004e+01,-8.05049147618049e+01
3.19153785509948e+00,-1.61979926402734e+01,-8.10879871046786e+01
3.40408189700864e+00,-1.67454126694786e+01,-8.16363541831117e+01
3.63078054769955e+00,-1.72943367672646e+01,-8.21518927581957e+01
3.87257644921460e+00,-1.78445914982208e+01,-8.26364112762920e+01
4.13047501989993e+00,-1.83960231417353e+01,-8.30916461352120e+01
4.40554863506374e+00,-1.89484956699182e+01,-8.35192594337868e+01
4.69894108605023e+00,-1.95018889033957e+01,-8.39208379333265e+01
5.01187233627066e+00,-2.00560968391105e+01,-8.42978929973648e+01
5.34564359396751e+00,-2.06110261420019e+01,-8.46518613105551e+01
5.70164272280511e+00,-2.11665947910531e+01,-8.49841062084043e+01
6.08135001278465e+00,-2.17227308694641e+01,-8.52959194767021e+01
6.48634433547968e+00,-2.22793714884920e+01,-8.55885235031814e+01
6.91830970918647e+00,-2.28364618346427e+01,-8.58630736843753e+01
7.37904230128791e+00,-2.33939543303070e+01,-8.61206610081217e+01
7.87045789694767e+00,-2.39518078985322e+01,-8.63623147470177e+01
8.39459986519043e+00,-2.45099873233297e+01,-8.65890052106567e+01
8.95364765549214e+00,-2.50684626977186e+01,-8.68016465149940e+01
9.54992586021029e+00,-2.56272089525362e+01,-8.70010993359556e+01
1.01859138805368e+01,-2.61862054599110e+01,-8.71881736216758e+01
1.08642562361660e+01,-2.67454357061540e+01,-8.73636312437582e+01
1.15877735615463e+01,-2.73048870296936e+01,-8.75281885728776e+01
1.23594743344398e+01,-2.78645504205342e+01,-8.76825189680682e+01
1.31825673855584e+01,-2.84244203785763e+01,-8.78272551723074e+01
1.40604752412930e+01,-2.89844948289900e+01,-8.79629916096398e+01
1.49968483550172e+01,-2.95447750936914e+01,-8.80902865811929e+01
1.59955802861397e+01,-3.01052659188479e+01,-8.82096643591117e+01
1.70608238900237e+01,-3.06659755592353e+01,-8.83216171787536e+01
1.81970085860918e+01,-3.12269159212092e+01,-8.84266071305073e+01
1.94088587759192e+01,-3.17881027670394e+01,-8.85250679533780e+01
2.07014134879012e+01,-3.23495559844208e+01,-8.86174067330662e+01
2.20800473301792e+01,-3.29112999261233e+01,-8.87040055076918e+01
2.35504928389496e+01,-3.34733638260116e+01,-8.87852227846099e+01
2.51188643150845e+01,-3.40357822990747e+01,-8.88613949719598e+01
2.67916832481783e+01,-3.45985959346911e+01,-8.89328377286963e+01
2.85759054337366e+01,-3.51618519941585e+01,-8.89998472368998e+01
3.04789498962660e+01,-3.57256052255795e+01,-8.90627014001544e+01
3.25087297385287e+01,-3.62899188115829e+01,-8.91216609717403e+01
3.46736850452374e+01,-3.68548654681359e+01,-8.91769706163073e+01
3.69828179780097e+01,-3.74205287159585e+01,-8.92288599086028e+01
3.94457302075097e+01,-3.79870043498958e+01,-8.92775442727097e+01
4.20726628384250e+01,-3.85544021361627e+01,-8.93232258651244e+01
4.48745389932925e+01,-3.91228477728354e+01,-8.93660944048741e+01
4.78630092322417e+01,-3.96924851555256e+01,-8.94063279537299e+01
5.10504999975169e+01,-4.02634789981164e+01,-8.94440936494377e+01
5.44502652842167e+01,-4.08360178681296e+01,-8.94795483947445e+01
5.80764417521040e+01,-4.14103177081725e+01,-8.95128395048619e+01
6.19441075076491e+01,-4.19866259296011e+01,-8.95441053158719e+01
6.60693448007285e+01,-4.25652261828082e+01,-8.95734757564470e+01
7.04693068966814e+01,-4.31464439314639e+01,-8.96010728851279e+01
7.51622894017849e+01,-4.37306529869917e+01,-8.96270113952775e+01
8.01678063387298e+01,-4.43182831964520e+01,-8.96513990897080e+01
8.55066712884276e+01,-4.49098295244057e+01,-8.96743373268606e+01
9.12010839355474e+01,-4.55058628307558e+01,-8.96959214403051e+01
9.72747223776499e+01,-4.61070427269512e+01,-8.97162411332116e+01
1.03752841581751e+02,-4.67141329991308e+01,-8.97353808493392e+01
1.10662378397713e+02,-4.73280202285915e+01,-8.97534201219738e+01
1.18032063565116e+02,-4.79497364314063e+01,-8.97704339021324e+01
1.25892541179356e+02,-4.85804868005990e+01,-8.97864928672296e+01
1.34276496113721e+02,-4.92216839962961e+01,-8.98016637112647e+01
1.43218789927284e+02,-4.98749909373044e+01,-8.98160094174288e+01
1.52756605823732e+02,-5.05423747713320e+01,-8.98295895138302e+01
1.62929603263892e+02,-5.12261757493727e+01,-8.98424603127726e+01
1.73780082874852e+02,-5.19291962759317e+01,-8.98546751336473e+01
1.85353162341389e+02,-5.26548177334065e+01,-8.98662845089506e+01
1.97696964011088e+02,-5.34071562589706e+01,-8.98773363720728e+01
2.10862814993224e+02,-5.41912743000904e+01,-8.98878762241093e+01
2.24905460583466e+02,-5.50134739385465e+01,-8.98979472745579e+01
2.39883291901829e+02,-5.58817133234951e+01,-8.99075905465442e+01
2.55858588690436e+02,-5.68062142266190e+01,-8.99168449293696e+01
2.72897778280667e+02,-5.78003770824637e+01,-8.99257471458608e+01
2.91071711806514e+02,-5.88822119874141e+01,-8.99343315703011e+01
3.10455958812678e+02,-6.00766803067209e+01,-8.99426297625240e+01
3.31131121482423e+02,-6.14197458757400e+01,-8.99506694148479e+01
3.53183169791777e+02,-6.29658950173309e+01,-8.99584719581664e+01
3.76703798983716e+02,-6.48034424809858e+01,-8.99660467018902e+01
4.01790810848734e+02,-6.70898917830320e+01,-8.99733743796684e+01
4.28548520397219e+02,-7.01505041007158e+01,-8.99803492064661e+01
4.57088189614639e+02,-7.48560895419554e+01,-8.99864719568166e+01
4.87528490103134e+02,-8.57547852563063e+01,-8.99859324020297e+01
5.19995996533246e+02,-8.22165647175809e+01,8.99881656894630e+01
5.54625712957622e+02,-7.36877465386606e+01,8.99853793448096e+01
5.91561634175165e+02,-6.94463097491157e+01,8.99789889361604e+01
6.30957344479863e+02,-6.65829049449204e+01,8.99719253994870e+01
6.72976656283965e+02,-6.44049028225209e+01,8.99645439487067e+01
7.17794291270984e+02,-6.26355005106106e+01,8.99569232270370e+01
7.65596606910853e+02,-6.11358153055405e+01,8.99490743332375e+01
8.16582371358160e+02,-5.98262195998245e+01,8.99409847293718e+01
8.70963589955619e+02,-5.86568262903344e+01,8.99326314197115e+01
9.28966386779442e+02,-5.75943349573818e+01,8.99239858034694e+01
9.90831944892239e+02,-5.66154337781958e+01,8.99150156965814e+01
1.05681750921309e+03,-5.57031891208369e+01,8.99056862276646e+01
1.12719745617491e+03,-5.48449331035938e+01,8.98959602302916e+01
1.20226443461677e+03,-5.40309598919298e+01,8.98857983873775e+01
1.28233058265533e+03,-5.32536852726060e+01,8.98751592429377e+01
1.36772882559511e+03,-5.25070848280184e+01,8.98639991369996e+01
1.45881426027456e+03,-5.17863066045593e+01,8.98522720921985e+01
1.55596563160423e+03,-5.10873969148185e+01,8.98399296672580e+01
1.65958690743666e+03,-5.04071017085686e+01,8.98269207856488e+01
1.77010895831645e+03,-4.97427197489317e+01,8.98131915439737e+01
1.88799134909526e+03,-4.90919921248729e+01,8.97986850024865e+01
2.01372424986128e+03,-4.84530177737526e+01,8.97833409588901e+01
2.14783047412935e+03,-4.78241879646172e+01,8.97670957057743e+01
2.29086765276651e+03,-4.72041348325467e+01,8.97498817715444e+01
2.44343055269262e+03,-4.65916904822472e+01,8.97316276443469e+01
2.60615354999745e+03,-4.59858541508535e+01,8.97122574782482e+01
2.77971326775774e+03,-4.53857655931525e+01,8.96916907807340e+01
2.96483138952269e+03,-4.47906833264874e+01,8.96698420804411e+01
3.16227766016661e+03,-4.41999667113810e+01,8.96466205739001e+01
3.37287308658679e+03,-4.36130610893550e+01,8.96219297499494e+01
3.59749335155540e+03,-4.30294853794987e+01,8.95956669903636e+01
3.83707245492062e+03,-4.24488216690287e+01,8.95677231451326e+01
4.09260659729779e+03,-4.18707064334158e+01,8.95379820807136e+01
4.36515832239918e+03,-4.12948230977575e+01,8.95063201994674e+01
4.65586093522694e+03,-4.07208957093386e+01,8.94726059283770e+01
4.96592321450053e+03,-4.01486835363682e+01,8.94366991750266e+01
5.29663443891355e+03,-3.95779764429872e+01,8.93984507486974e+01
5.64936974811978e+03,-3.90085909182630e+01,8.93577017443122e+01
6.02559586074011e+03,-3.84403666587591e+01,8.93142828868297e+01
6.42687717316649e+03,-3.78731636217601e+01,8.92680138335566e+01
6.85488226452265e+03,-3.73068594802850e+01,8.92187024317087e+01
7.31139083482994e+03,-3.67413474224314e+01,8.91661439284133e+01
7.79830110522805e+03,-3.61765342468928e+01,8.91101201302060e+01
8.31763771102186e+03,-3.56123387141244e+01,8.90503985089336e+01
8.87156012037443e+03,-3.50486901189749e+01,8.89867312508405e+01
9.46237161365239e+03,-3.44855270558378e+01,8.89188542454802e+01
1.00925288607609e+04,-3.39227963517977e+01,8.88464860109712e+01
1.07646521362920e+04,-3.33604521469575e+01,8.87693265520068e+01
1.14815362149621e+04,-3.27984551042826e+01,8.86870561469307e+01
1.22461619926432e+04,-3.22367717339937e+01,8.85993340601223e+01
1.30617088813107e+04,-3.16753738198482e+01,8.85057971758978e+01
1.39315680294447e+04,-3.11142379366677e+01,8.84060585501337e+01
1.48593564228612e+04,-3.05533450502278e+01,8.82997058758836e+01
