frequency,magnitude,phase
1.00000000000000e-07,-1.73578943979593e-13,-1.14479999999998e-05
1.06659612123026e-07,-1.98651458109979e-13,-1.22103923958438e-05
1.13762728582343e-07,-2.25652627173472e-13,-1.30235571681064e-05
1.21338885046497e-07,-2.56511106103178e-13,-1.38908755601227e-05
1.29419584144998e-07,-2.90262567432544e-13,-1.48159539929190e-05
1.38038426460287e-07,-3.30764321027784e-13,-1.58026390611733e-05
1.47231250243271e-07,-3.76087711955790e-13,-1.68550335278491e-05
1.57036280433354e-07,-4.28161395149670e-13,-1.79775133840097e-05
1.67494287602642e-07,-4.86985370609424e-13,-1.91747460447497e-05
1.78648757485203e-07,-5.52559638335051e-13,-2.04517097569051e-05
1.90546071796322e-07,-6.29705835659319e-13,-2.18137142992419e-05
2.03235701093619e-07,-7.15530980182568e-13,-2.32664230611962e-05
2.16770410481966e-07,-8.13892381771012e-13,-2.48158765919739e-05
2.31206479017555e-07,-9.26718695357758e-13,-2.64685177179278e-05
2.46603933723429e-07,-1.05497424840936e-12,-2.82312183326558e-05
2.63026799189532e-07,-1.19865904092582e-12,-3.01113079712149e-05
2.80543363795165e-07,-1.36452336517301e-12,-3.21166042872671e-05
2.99226463660811e-07,-1.55256722115093e-12,-3.42554455598856e-05
3.19153785510068e-07,-1.76664791872580e-12,-3.65367253651876e-05
3.40408189700991e-07,-2.00965844029728e-12,-3.89699295569635e-05
3.63078054770090e-07,-2.28642042319814e-12,-4.15651757100727e-05
3.87257644921605e-07,-2.60079117729460e-12,-4.43332551906165e-05
4.13047501990148e-07,-2.95952099485254e-12,-4.72856780278214e-05
4.40554863506538e-07,-3.36550285827162e-12,-5.04347207742155e-05
4.69894108605199e-07,-3.82838004221739e-12,-5.37934775531073e-05
5.01187233627254e-07,-4.35393851148918e-12,-5.73759145056288e-05
5.34564359396951e-07,-4.95375019568565e-12,-6.11969278637397e-05
5.70164272280724e-07,-5.63649404200579e-12,-6.52724058906691e-05
6.08135001278692e-07,-6.41181332511517e-12,-6.96192949463505e-05
6.48634433548210e-07,-7.29513728447868e-12,-7.42556699525575e-05
6.91830970918905e-07,-8.29803784969500e-12,-7.92008095507458e-05
7.37904230129067e-07,-9.44076589756181e-12,-8.44752762651143e-05
7.87045789695061e-07,-1.07406793224772e-11,-9.01010020042163e-05
8.39459986519356e-07,-1.22189933287053e-11,-9.61013792566458e-05
8.95364765549548e-07,-1.38998161029102e-11,-1.02501358360003e-04
9.54992586021386e-07,-1.58130417965552e-11,-1.09327551247596e-04
1.01859138805406e-06,-1.79885645611036e-11,-1.16608342104268e-04
1.08642562361701e-06,-2.04639931677514e-11,-1.24374005391479e-04
1.15877735615506e-06,-2.32807936975607e-11,-1.32656831732394e-04
1.23594743344444e-06,-2.64852538689264e-11,-1.41491262180432e-04
1.31825673855633e-06,-3.01304116925097e-11,-1.50914031429579e-04
1.40604752412983e-06,-3.42770197987042e-11,-1.60964320561959e-04
1.49968483550228e-06,-3.89945097651028e-11,-1.71683919967787e-04
1.59955802861457e-06,-4.43609921164976e-11,-1.83117403115172e-04
1.70608238900301e-06,-5.04651849798132e-11,-1.95312311892308e-04
1.81970085860986e-06,-5.74112357214397e-11,-2.08319354292739e-04
1.94088587759264e-06,-6.53129349824331e-11,-2.22192615265692e-04
2.07014134879090e-06,-7.43023956257151e-11,-2.36989781608230e-04
2.20800473301874e-06,-8.45271597536731e-11,-2.52772381834346e-04
2.35504928389584e-06,-9.61608063102930e-11,-2.69606042018406e-04
2.51188643150939e-06,-1.09396200788893e-10,-2.87560758676781e-04
2.67916832481883e-06,-1.24452245524393e-10,-3.06711189822330e-04
2.85759054337472e-06,-1.41578701330641e-10,-3.27136965401984e-04
3.04789498962774e-06,-1.61063902120156e-10,-3.48923018408270e-04
3.25087297385408e-06,-1.83230897594256e-10,-3.72159938041581e-04
3.46736850452503e-06,-2.08448060845193e-10,-3.96944346391675e-04
3.69828179780235e-06,-2.37136802975889e-10,-4.23379300204707e-04
3.94457302075245e-06,-2.69773501754871e-10,-4.51574719406390e-04
4.20726628384408e-06,-3.06901073545872e-10,-4.81647844163124e-04
4.48745389933093e-06,-3.49139580909967e-10,-5.13723722381638e-04
4.78630092322595e-06,-3.97190089915449e-10,-5.47935729674203e-04
5.10504999975360e-06,-4.51853956687160e-10,-5.84426123951523e-04
5.44502652842371e-06,-5.14042470681173e-10,-6.23346636949352e-04
5.80764417521257e-06,-5.84787462286930e-10,-6.64859105148494e-04
6.19441075076722e-06,-6.65270232651259e-10,-7.09136142711622e-04
6.60693448007532e-06,-7.56830232625589e-10,-7.56361859235086e-04
7.04693068967077e-06,-8.60991099607576e-10,-8.06732625300199e-04
7.51622894018130e-06,-9.79487658710199e-10,-8.60457889007268e-04
8.01678063387598e-06,-1.11429003094846e-09,-9.17761046887630e-04
8.55066712884595e-06,-1.26764799230293e-09,-9.78880372815044e-04
9.12010839355814e-06,-1.44211026026910e-09,-1.04407000877897e-03
9.72747223776862e-06,-1.64058235350551e-09,-1.11360102163953e-03
